,League,Season,Goals
0,Premier League,2015,1026.0
1,Premier League,2016,1064.0
2,Premier League,2017,1018.0
3,Premier League,2018,1072.0
4,Premier League,2019,1034.0
5,Premier League,2020,1024.0
6,Premier League,2021,1071.0
7,Bundesliga,2015,866.0
8,Bundesliga,2016,877.0
9,Bundesliga,2017,855.0
10,Bundesliga,2018,973.0
11,Bundesliga,2019,982.0
12,Bundesliga,2020,928.0
13,Bundesliga,2021,954.0
14,Serie A,2015,979.0
15,Serie A,2016,1123.0
16,Serie A,2017,1017.0
17,Serie A,2018,1019.0
18,Serie A,2019,1154.0
19,Serie A,2020,1163.0
20,Serie A,2021,1089.0
21,Ligue 1,2015,960.0
22,Ligue 1,2016,991.0
23,Ligue 1,2017,1033.0
24,Ligue 1,2018,972.0
25,Ligue 1,2019,704.0
26,Ligue 1,2020,1049.0
27,Ligue 1,2021,1067.0
28,LaLiga,2015,1043.0
29,LaLiga,2016,1118.0
30,LaLiga,2017,1024.0
31,LaLiga,2018,983.0
32,LaLiga,2019,942.0
33,LaLiga,2020,953.0
34,LaLiga,2021,951.0
