id,name,appearances,goals,asists,yellow_cards,second_yellow_cards,red_cards,minutes_played,goals_conceded,clean_sheets
108390,thibaut-courtois,52,-,,1,-,-,4.770',46,22
33873,asmir-begovic,7,-,,-,-,-,660',13,2
128898,jamal-blackman,3,-,,-,-,-,270',2,2
16810,marco-amelia,,,,,,,,,
157509,kurt-zouma,33,1,1,2,-,-,2.926',,
27511,gary-cahill,22,-,1,2,1,-,1.939',,
177476,nathan-ake,27,3,-,2,-,-,1.741',,
136610,papy-djilobodji,34,6,1,7,-,1,2.924',,
148657,tomas-kalas,37,-,1,5,-,-,3.281',,
157490,michael-hector,7,-,-,2,-,-,660',,
3160,john-terry,,,,,,,,,
245893,matt-miazga,24,2,-,6,-,-,1.932',,
303254,fikayo-tomori,40,1,-,7,-,-,3.356',,
316551,jake-clarke-salter,31,-,-,6,-,-,2.502',,
224884,abdul-rahman-baba,29,-,1,5,-,-,2.581',,
57500,cesar-azpilicueta,47,3,3,5,-,-,3.635',,
36827,branislav-ivanovic,,,,,,,,,
236490,ola-aina,23,-,-,4,-,-,1.643',,
74683,nemanja-matic,32,-,4,5,-,-,1.667',,
30739,john-obi-mikel,,,,,,,,,
8806,cesc-fabregas,6,-,1,-,-,-,159',,
54170,ramires,,,,,,,,,
202886,ruben-loftus-cheek,40,1,5,3,-,-,2.158',,
236496,charlie-colkett,10,-,1,2,-,-,516',,
91970,juan-cuadrado,45,5,7,11,-,-,3.304',,
59866,victor-moses,34,3,5,5,-,-,2.606',,
85314,oscar,5,2,2,-,-,-,404',,
176485,lucas-piazon,34,1,-,4,-,1,1.461',,
258216,kasey-palmer,8,1,1,-,-,-,273',,
50202,eden-hazard,23,1,2,2,-,-,903',,
52769,willian,36,1,4,2,-,-,2.272',,
281404,kenedy,3,-,1,-,-,-,130',,
65278,pedro,41,10,5,6,-,-,2.565',,
131996,bertrand-traore,10,-,-,-,-,-,277',,
44779,diego-costa,,,,,,,,,
39152,radamel-falcao,28,6,-,1,-,-,963',,
37579,alexandre-pato,27,4,5,1,-,-,1.584',,
45121,loic-remy,11,-,-,-,-,-,379',,
183334,patrick-bamford,11,2,3,1,-,-,671',,
331726,tammy-abraham,53,27,5,11,-,-,4.257',,
40204,joe-hart,54,-,,-,-,-,4.890',47,26
19948,willy-caballero,4,-,,1,-,-,390',7,-
3120,richard-wright,,,,,,,,,
54781,nicolas-otamendi,43,-,1,12,1,-,3.822',,
9594,vincent-kompany,,,,,,,,,
90681,eliaquim-mangala,15,1,-,9,-,-,1.303',,
277114,jason-denayer,21,3,1,2,-,-,1.450',,
2963,martin-demichelis,,,,,,,,,
258878,tosin-adarabioyo,44,2,2,3,-,1,3.902',,
277723,cameron-humphreys,28,-,1,5,1,-,2.241',,
46156,aleksandar-kolarov,4,-,-,-,-,-,44',,
7449,gael-clichy,31,-,3,7,1,-,2.748',,
277179,angelino,45,3,13,4,1,-,3.647',,
15956,jesus-navas,33,-,3,5,-,-,2.363',,
20007,pablo-zabaleta,,,,,,,,,
26764,bacary-sagna,,,,,,,,,
251876,pablo-maffeo,36,1,5,11,-,-,3.036',,
210202,james-horsfield,14,1,-,1,-,-,1.056',,
26267,fernandinho,53,3,5,13,-,-,3.351',,
51174,fernando,32,1,1,7,-,-,2.542',,
181498,george-evans,25,1,1,3,-,-,1.330',,
114365,luke-brattan,,,,,,,,,
13091,yaya-toure,,,,,,,,,
50362,fabian-delph,11,-,-,2,-,-,665',,
201570,george-glendon,35,4,-,6,1,-,2.990',,
261504,aleix-garcia,45,1,5,8,-,-,3.571',,
88755,kevin-de-bruyne,45,19,14,4,-,-,3.338',,
35518,david-silva,32,2,6,5,-,1,2.106',,
18935,samir-nasri,,,,,,,,,
229695,bersant-celina,35,6,6,6,-,-,2.248',,
277118,manu-garcia,26,-,2,3,-,-,1.203',,
134425,raheem-sterling,47,17,9,2,-,-,3.088',,
214927,brandon-barker,6,-,1,-,-,-,174',,
225452,patrick-roberts,21,2,1,1,-,-,1.102',,
26399,sergio-aguero,5,1,-,-,-,-,165',,
81808,wilfried-bony,2,-,-,-,-,-,40',,
295330,kelechi-iheanacho,43,8,9,3,-,-,2.211',,
272624,david-faupala,11,1,1,1,-,-,448',,
5658,petr-cech,,,,,,,,,
73396,david-ospina,33,-,,1,-,-,2.926',28,13
111873,emiliano-martinez,37,-,,4,-,-,3.330',49,11
220491,matt-macey,44,-,,2,-,-,3.990',51,14
76277,laurent-koscielny,11,-,1,2,-,-,932',,
6710,per-mertesacker,,,,,,,,,
149498,gabriel-paulista,21,2,1,4,-,-,1.799',,
43003,nacho-monreal,,,,,,,,,
44792,kieran-gibbs,17,-,-,-,-,-,700',,
191217,hector-bellerin,32,-,5,2,-,1,2.562',,
215118,calum-chambers,16,2,-,1,-,-,1.205',,
126321,carl-jenkinson,28,3,-,4,-,-,2.174',,
27306,mathieu-debuchy,29,-,1,4,-,1,2.388',,
74869,francis-coquelin,28,3,2,3,1,-,1.286',,
160438,mohamed-elneny,17,-,2,1,-,-,1.052',,
17396,mathieu-flamini,,,,,,,,,
287247,krystian-bielik,16,1,-,1,-,-,1.055',,
206225,isaac-hayden,14,1,-,5,-,-,1.001',,
351816,ismael-bennacer,40,2,1,8,-,-,2.100',,
314384,ben-sheaf,37,2,4,7,-,-,3.104',,
50057,aaron-ramsey,18,2,2,1,-,-,745',,
15799,santi-cazorla,25,7,12,-,-,-,1.990',,
74223,jack-wilshere,15,-,3,3,-,-,762',,
143424,alex-oxlade-chamberlain,29,3,3,-,-,-,1.525',,
7451,mikel-arteta,,,,,,,,,
242632,glen-kamara,52,4,5,1,1,-,3.860',,
35664,mesut-ozil,26,9,2,-,-,-,1.521',,
326300,jeff-reine-adelaide,13,-,1,-,-,-,303',,
132,tomas-rosicky,,,,,,,,,
242631,alex-iwobi,32,3,3,1,-,-,2.234',,
193593,jon-toral,24,3,1,3,-,-,1.621',,
314341,chris-willock,38,7,11,1,-,-,3.024',,
33713,theo-walcott,12,-,-,-,-,-,487',,
131248,joel-campbell,34,4,4,3,-,1,1.675',,
159471,serge-gnabry,45,17,9,-,-,-,2.748',,
121990,wellington-silva,17,2,1,-,-,-,432',,
40433,alexis-sanchez,39,9,5,-,1,-,1.345',,
82442,olivier-giroud,38,14,4,6,-,-,2.520',,
67063,danny-welbeck,27,6,3,-,-,-,1.550',,
127194,yaya-sanogo,,,,,,,,,
197642,chuba-akpom,53,11,3,6,1,-,2.954',,
59377,david-de-gea,46,-,,-,-,-,4.140',66,10
30690,sergio-romero,16,-,,2,-,-,1.440',33,3
7589,victor-valdes,,,,,,,,,
110864,sam-johnstone,36,-,,4,-,1,3.240',33,15
192611,joel-pereira,2,-,,-,-,-,180',3,1
258919,dean-henderson,5,-,,-,-,-,458',7,-
103427,chris-smalling,38,4,-,-,-,-,2.902',,
12282,daley-blind,46,2,3,4,-,-,3.718',,
93176,marcos-rojo,29,5,-,12,-,1,2.529',,
117996,phil-jones,8,-,-,1,-,-,418',,
167268,paddy-mcnair,46,5,3,11,-,1,4.131',,
314388,ro-shaun-williams,35,-,-,5,-,-,3.034',,
340194,regan-poole,50,1,2,3,-,-,4.448',,
342046,axel-tuanzebe,13,-,-,2,-,-,816',,
183288,luke-shaw,27,-,5,11,-,-,2.212',,
14086,ashley-young,25,-,2,3,-,-,1.328',,
258879,cameron-borthwick-jackson,42,2,2,4,-,-,3.215',,
134414,tyler-blackett,22,-,1,8,-,-,1.512',,
54906,matteo-darmian,36,2,3,5,-,-,2.048',,
33544,antonio-valencia,,,,,,,,,
188862,guillermo-varela,35,-,3,5,1,-,2.297',,
179451,donald-love,29,-,1,8,-,-,1.986',,
315131,timothy-fosu-mensah,8,-,-,1,-,-,209',,
56818,morgan-schneiderlin,24,-,1,2,-,1,906',,
3878,michael-carrick,,,,,,,,,
387036,joe-riley,37,3,2,4,-,-,2.775',,
99343,ander-herrera,28,4,2,4,-,-,1.635',,
39679,marouane-fellaini,28,7,4,3,-,-,1.624',,
2514,bastian-schweinsteiger,,,,,,,,,
183293,joe-rothwell,43,3,10,8,-,-,3.320',,
251058,james-weir,16,-,1,5,-,-,1.131',,
289843,sean-goss,31,1,5,7,-,-,2.438',,
44068,juan-mata,12,-,-,-,-,-,409',,
141660,jesse-lingard,22,2,1,1,-,-,547',,
203394,andreas-pereira,29,3,2,9,-,-,1.866',,
134424,nick-powell,22,7,2,2,-,-,1.469',,
258923,marcus-rashford,32,5,2,3,-,-,1.658',,
177847,adnan-januzaj,44,5,3,7,-,-,2.394',,
3332,wayne-rooney,,,,,,,,,
182877,anthony-martial,23,2,1,1,-,-,1.040',,
167850,memphis-depay,38,13,2,4,-,-,2.495',,
50935,chicharito,38,19,3,9,-,-,2.937',,
214104,james-wilson,47,15,3,4,-,-,3.462',,
118535,will-keane,50,27,7,2,-,-,4.143',,
50219,simon-mignolet,49,-,,4,-,-,4.423',63,18
55247,adam-bogdan,11,-,,-,-,-,990',12,5
203026,danny-ward,5,-,,-,-,-,450',8,1
243591,lawrence-vigouroux,50,-,,2,-,-,4.500',50,16
193861,ryan-fulton,21,-,,1,-,-,1.890',38,4
47713,mamadou-sakho,32,-,1,3,-,-,2.848',,
37838,dejan-lovren,19,-,-,4,-,-,1.543',,
24180,martin-skrtel,21,1,-,8,-,1,1.811',,
121280,steven-caulker,27,2,1,4,-,-,2.356',,
177859,tiago-ilori,12,1,-,1,-,-,618',,
256178,joe-gomez,21,-,1,3,-,-,1.036',,
3202,kolo-toure,,,,,,,,,
264193,dan-cleary,32,5,2,8,-,-,2.839',,
293784,conor-masterson,39,1,-,3,-,-,3.211',,
207917,alberto-moreno,35,6,4,5,-,-,1.813',,
35571,jose-enrique,,,,,,,,,
175745,brad-smith,16,-,1,2,-,-,1.154',,
